,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,code,forename,surname,position_change
25140,25146,1061,1,131,44,2,1,1,1,25.0,52,1:58:23.284,7103284,45,2,1:29.699,236.430,1,HAM,Lewis,Hamilton,-1
25141,25147,1061,844,6,16,4,2,2,2,18.0,52,+3.871,7107155,45,5,1:30.569,234.159,1,LEC,Charles,Leclerc,-2
25142,25148,1061,822,131,77,3,3,3,3,15.0,52,+11.125,7114409,45,4,1:30.524,234.275,1,BOT,Valtteri,Bottas,0
25143,25149,1061,846,1,4,5,4,4,4,12.0,52,+28.573,7131857,44,9,1:31.420,231.979,1,NOR,Lando,Norris,-1
25144,25150,1061,817,1,3,6,5,5,5,10.0,52,+42.624,7145908,51,8,1:31.284,232.325,1,RIC,Daniel,Ricciardo,-1
25145,25151,1061,832,6,55,10,6,6,6,8.0,52,+43.454,7146738,51,7,1:31.223,232.480,1,SAI,Carlos,Sainz,-4
25146,25152,1061,4,214,14,7,7,7,7,6.0,52,+1:12.093,7175377,48,10,1:31.698,231.276,1,ALO,Fernando,Alonso,0
25147,25153,1061,840,117,18,14,8,8,8,4.0,52,+1:14.289,7177573,48,12,1:31.992,230.537,1,STR,Lance,Stroll,-6
25148,25154,1061,839,214,31,9,9,9,9,2.0,52,+1:16.162,7179446,48,14,1:32.210,229.992,1,OCO,Esteban,Ocon,0
25149,25155,1061,852,213,22,16,10,10,10,1.0,52,+1:22.065,7185349,51,6,1:30.826,233.497,1,TSU,Yuki,Tsunoda,-6
25150,25156,1061,842,213,10,11,11,11,11,0.0,52,+1:25.327,7188611,52,3,1:30.266,234.945,1,GAS,Pierre,Gasly,0
25151,25157,1061,847,3,63,12,12,12,12,0.0,51,\N,\N,49,13,1:32.049,230.394,11,RUS,George,Russell,0
25152,25158,1061,841,51,99,15,13,13,13,0.0,51,\N,\N,49,15,1:32.346,229.653,11,GIO,Antonio,Giovinazzi,-2
25153,25159,1061,849,3,6,17,14,14,14,0.0,51,\N,\N,51,16,1:32.477,229.328,11,LAT,Nicholas,Latifi,-3
25154,25160,1061,8,51,7,13,15,15,15,0.0,51,\N,\N,48,11,1:31.895,230.780,11,RAI,Kimi,Räikkönen,2
25155,25161,1061,815,9,11,0,16,16,16,0.0,51,\N,\N,50,1,1:28.617,239.317,11,PER,Sergio,Pérez,16
25156,25162,1061,853,210,9,19,17,17,17,0.0,51,\N,\N,51,18,1:32.909,228.262,11,MAZ,Nikita,Mazepin,-2
25157,25163,1061,854,210,47,18,18,18,18,0.0,51,\N,\N,50,17,1:32.862,228.377,11,MSC,Mick,Schumacher,0
25158,25164,1061,20,117,5,8,\N,R,19,0.0,40,\N,\N,35,19,1:33.059,227.894,31,VET,Sebastian,Vettel,11
25159,25165,1061,830,9,33,1,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4,VER,Max,Verstappen,19
25220,25226,1065,817,1,3,2,1,1,1,26.0,53,1:21:54.365,4914365,53,1,1:24.812,245.894,1,RIC,Daniel,Ricciardo,-1
25221,25227,1065,846,1,4,3,2,2,2,18.0,53,+1.747,4916112,53,3,1:24.971,245.434,1,NOR,Lando,Norris,-1
25222,25228,1065,822,131,77,19,3,3,3,15.0,53,+4.921,4919286,34,2,1:24.827,245.850,1,BOT,Valtteri,Bottas,-16
25223,25229,1065,844,6,16,5,4,4,4,12.0,53,+7.309,4921674,53,6,1:25.319,244.433,1,LEC,Charles,Leclerc,-1
25224,25230,1065,815,9,11,8,5,5,5,10.0,53,+8.723,4923088,53,4,1:25.156,244.901,1,PER,Sergio,Pérez,-3
25225,25231,1065,832,6,55,6,6,6,6,8.0,53,+10.535,4924900,53,8,1:25.559,243.747,1,SAI,Carlos,Sainz,0
25226,25232,1065,840,117,18,9,7,7,7,6.0,53,+15.804,4930169,52,13,1:25.853,242.912,1,STR,Lance,Stroll,-2
25227,25233,1065,4,214,14,10,8,8,8,4.0,53,+17.201,4931566,52,7,1:25.472,243.995,1,ALO,Fernando,Alonso,-2
25228,25234,1065,847,3,63,14,9,9,9,2.0,53,+19.742,4934107,53,11,1:25.835,242.963,1,RUS,George,Russell,-5
25229,25235,1065,839,214,31,12,10,10,10,1.0,53,+20.868,4935233,53,9,1:25.566,243.727,1,OCO,Esteban,Ocon,-2
25230,25236,1065,849,3,6,13,11,11,11,0.0,53,+23.743,4938108,50,16,1:25.953,242.630,1,LAT,Nicholas,Latifi,-2
25231,25237,1065,20,117,5,11,12,12,12,0.0,53,+24.621,4938986,50,15,1:25.938,242.672,1,VET,Sebastian,Vettel,1
25232,25238,1065,841,51,99,7,13,13,13,0.0,53,+27.216,4941581,50,10,1:25.718,243.295,1,GIO,Antonio,Giovinazzi,6
25233,25239,1065,9,51,88,17,14,14,14,0.0,53,+29.769,4944134,53,12,1:25.849,242.924,1,KUB,Robert,Kubica,-3
25234,25240,1065,854,210,47,18,15,15,15,0.0,53,+51.088,4965453,52,17,1:26.707,240.520,1,MSC,Mick,Schumacher,-3
25235,25241,1065,853,210,9,16,\N,R,16,0.0,41,\N,\N,41,18,1:27.202,239.155,131,MAZ,Nikita,Mazepin,0
25236,25242,1065,1,131,44,4,\N,R,17,0.0,25,\N,\N,3,14,1:25.870,242.864,4,HAM,Lewis,Hamilton,13
25237,25243,1065,830,9,33,1,\N,R,18,0.0,25,\N,\N,25,5,1:25.173,244.852,4,VER,Max,Verstappen,17
25238,25244,1065,842,213,10,0,\N,R,19,0.0,3,\N,\N,2,19,1:29.005,234.310,22,GAS,Pierre,Gasly,19
25239,25245,1065,852,213,22,0,\N,W,20,0.0,0,\N,\N,\N,0,\N,\N,23,TSU,Yuki,Tsunoda,20
25320,25326,1071,1,131,44,10,1,1,1,25.0,71,1:32:22.851,5542851,46,2,1:11.982,215.503,1,HAM,Lewis,Hamilton,-9
25321,25327,1071,830,9,33,2,2,2,2,18.0,71,+10.496,5553347,47,3,1:12.486,214.005,1,VER,Max,Verstappen,0
25322,25328,1071,822,131,77,1,3,3,3,15.0,71,+13.576,5556427,49,4,1:12.526,213.887,1,BOT,Valtteri,Bottas,2
25323,25329,1071,815,9,11,4,4,4,4,13.0,71,+39.940,5582791,71,1,1:11.010,218.453,1,PER,Sergio,Pérez,0
25324,25330,1071,844,6,16,6,5,5,5,10.0,71,+49.517,5592368,61,7,1:12.822,213.018,1,LEC,Charles,Leclerc,-1
25325,25331,1071,832,6,55,3,6,6,6,8.0,71,+51.820,5594671,63,6,1:12.710,213.346,1,SAI,Carlos,Sainz,3
25326,25332,1071,842,213,10,7,7,7,7,6.0,70,\N,\N,53,8,1:13.227,211.839,11,GAS,Pierre,Gasly,0
25327,25333,1071,839,214,31,8,8,8,8,4.0,70,\N,\N,48,16,1:14.430,208.415,11,OCO,Esteban,Ocon,0
25328,25334,1071,4,214,14,12,9,9,9,2.0,70,\N,\N,37,12,1:13.922,209.848,11,ALO,Fernando,Alonso,-3
25329,25335,1071,846,1,4,5,10,10,10,1.0,70,\N,\N,53,10,1:13.761,210.306,11,NOR,Lando,Norris,5
25330,25336,1071,20,117,5,9,11,11,11,0.0,70,\N,\N,69,9,1:13.634,210.668,11,VET,Sebastian,Vettel,2
25331,25337,1071,8,51,7,0,12,12,12,0.0,70,\N,\N,54,5,1:12.621,213.607,11,RAI,Kimi,Räikkönen,12
25332,25338,1071,847,3,63,17,13,13,13,0.0,70,\N,\N,45,15,1:14.355,208.626,11,RUS,George,Russell,-4
25333,25339,1071,841,51,99,13,14,14,14,0.0,70,\N,\N,44,14,1:14.227,208.985,11,GIO,Antonio,Giovinazzi,1
25334,25340,1071,852,213,22,15,15,15,15,0.0,70,\N,\N,62,13,1:14.204,209.050,11,TSU,Yuki,Tsunoda,0
25335,25341,1071,849,3,6,16,16,16,16,0.0,70,\N,\N,57,18,1:14.616,207.896,11,LAT,Nicholas,Latifi,0
25336,25342,1071,853,210,9,19,17,17,17,0.0,69,\N,\N,36,19,1:14.954,206.958,12,MAZ,Nikita,Mazepin,-2
25337,25343,1071,854,210,47,18,18,18,18,0.0,69,\N,\N,66,11,1:13.793,210.215,12,MSC,Mick,Schumacher,0
25338,25344,1071,817,1,3,11,\N,R,19,0.0,49,\N,\N,40,17,1:14.443,208.379,75,RIC,Daniel,Ricciardo,8
25339,25345,1071,840,117,18,14,\N,R,20,0.0,47,\N,\N,25,20,1:15.344,205.887,130,STR,Lance,Stroll,6
25460,25466,1077,830,9,1,1,1,1,1,26.0,63,1:32:07.986,5527986,55,1,1:18.446,225.281,1,VER,Max,Verstappen,0
25461,25467,1077,815,9,11,3,2,2,2,18.0,63,+16.527,5544513,52,3,1:18.949,223.845,1,PER,Sergio,Pérez,-1
25462,25468,1077,846,1,4,5,3,3,3,15.0,63,+34.834,5562820,61,7,1:20.903,218.439,1,NOR,Lando,Norris,-2
25463,25469,1077,847,131,63,11,4,4,4,12.0,63,+42.506,5570492,57,8,1:20.962,218.280,1,RUS,George,Russell,-7
25464,25470,1077,822,51,77,7,5,5,5,10.0,63,+43.181,5571167,43,6,1:20.758,218.831,1,BOT,Valtteri,Bottas,-2
25465,25471,1077,844,6,16,2,6,6,6,8.0,63,+56.072,5584058,63,2,1:18.574,224.914,1,LEC,Charles,Leclerc,4
25466,25472,1077,852,213,22,12,7,7,7,6.0,63,+1:01.110,5589096,61,5,1:20.544,219.412,1,TSU,Yuki,Tsunoda,-5
25467,25473,1077,20,117,5,13,8,8,8,4.0,63,+1:10.892,5598878,47,9,1:21.211,217.610,1,VET,Sebastian,Vettel,-5
25468,25474,1077,825,210,20,8,9,9,9,2.0,63,+1:15.260,5603246,61,10,1:21.238,217.538,1,MAG,Kevin,Magnussen,1
25469,25475,1077,840,117,18,15,10,10,10,1.0,62,\N,\N,46,16,1:21.750,216.176,11,STR,Lance,Stroll,-5
25470,25476,1077,848,3,23,18,11,11,11,0.0,62,\N,\N,61,17,1:21.757,216.157,11,ALB,Alexander,Albon,-7
25471,25477,1077,842,213,10,17,12,12,12,0.0,62,\N,\N,34,15,1:21.713,216.274,11,GAS,Pierre,Gasly,-5
25472,25478,1077,1,131,44,14,13,13,13,0.0,62,\N,\N,50,13,1:21.419,217.054,11,HAM,Lewis,Hamilton,-1
25473,25479,1077,839,214,31,16,14,14,14,0.0,62,\N,\N,37,18,1:21.887,215.814,11,OCO,Esteban,Ocon,-2
25474,25480,1077,855,51,24,0,15,15,15,0.0,62,\N,\N,61,11,1:21.286,217.410,11,ZHO,Guanyu,Zhou,15
25475,25481,1077,849,3,6,19,16,16,16,0.0,62,\N,\N,62,12,1:21.338,217.271,11,LAT,Nicholas,Latifi,-3
25476,25482,1077,854,210,47,10,17,17,17,0.0,62,\N,\N,55,4,1:18.999,223.704,11,MSC,Mick,Schumacher,7
25477,25483,1077,817,1,3,6,18,18,18,0.0,62,\N,\N,61,14,1:21.577,216.634,11,RIC,Daniel,Ricciardo,12
25478,25484,1077,4,214,14,9,\N,R,19,0.0,6,\N,\N,5,19,1:39.685,177.282,130,ALO,Fernando,Alonso,10
25479,25485,1077,832,6,55,4,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4,SAI,Carlos,Sainz,16
25600,25606,1084,844,6,16,2,1,1,1,25.0,71,1:24:24.312,5064312,62,2,1:07.583,230.010,1,LEC,Charles,Leclerc,-1
25601,25607,1084,830,9,1,1,2,2,2,19.0,71,+1.532,5065844,62,1,1:07.275,231.063,1,VER,Max,Verstappen,1
25602,25608,1084,1,131,44,8,3,3,3,15.0,71,+41.217,5105529,63,5,1:09.000,225.286,1,HAM,Lewis,Hamilton,-5
25603,25609,1084,847,131,63,4,4,4,4,12.0,71,+58.972,5123284,61,6,1:09.075,225.042,1,RUS,George,Russell,0
25604,25610,1084,839,214,31,6,5,5,5,10.0,71,+1:08.436,5132748,62,10,1:09.559,223.476,1,OCO,Esteban,Ocon,-1
25605,25611,1084,854,210,47,9,6,6,6,8.0,70,\N,\N,50,11,1:09.625,223.264,11,MSC,Mick,Schumacher,-3
25606,25612,1084,846,1,4,10,7,7,7,6.0,70,\N,\N,62,8,1:09.304,224.298,11,NOR,Lando,Norris,-3
25607,25613,1084,825,210,20,7,8,8,8,4.0,70,\N,\N,61,14,1:09.938,222.265,11,MAG,Kevin,Magnussen,1
25608,25614,1084,817,1,3,11,9,9,9,2.0,70,\N,\N,61,13,1:09.924,222.309,11,RIC,Daniel,Ricciardo,-2
25609,25615,1084,4,214,14,19,10,10,10,1.0,70,\N,\N,62,3,1:08.558,226.739,11,ALO,Fernando,Alonso,-9
25610,25616,1084,822,51,77,0,11,11,11,0.0,70,\N,\N,61,7,1:09.266,224.421,11,BOT,Valtteri,Bottas,11
25611,25617,1084,848,3,23,15,12,12,12,0.0,70,\N,\N,60,12,1:09.669,223.123,11,ALB,Alexander,Albon,-3
25612,25618,1084,840,117,18,12,13,13,13,0.0,70,\N,\N,64,17,1:10.048,221.916,11,STR,Lance,Stroll,1
25613,25619,1084,855,51,24,13,14,14,14,0.0,70,\N,\N,50,9,1:09.380,224.053,11,ZHO,Guanyu,Zhou,1
25614,25620,1084,842,213,10,14,15,15,15,0.0,70,\N,\N,61,18,1:10.104,221.739,11,GAS,Pierre,Gasly,1
25615,25621,1084,852,213,22,16,16,16,16,0.0,70,\N,\N,62,16,1:10.023,221.995,11,TSU,Yuki,Tsunoda,0
25616,25622,1084,20,117,5,18,17,17,17,0.0,70,\N,\N,62,15,1:10.001,222.065,11,VET,Sebastian,Vettel,-1
25617,25623,1084,832,6,55,3,\N,R,18,0.0,56,\N,\N,55,4,1:08.649,226.438,131,SAI,Carlos,Sainz,15
